Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
50	Spectrogram 1	1	443.296000	443.370000	4000.000000	18000.000000	8000.000000	Twitter	9.968979	-24.544992	70.247662	0
51	Spectrogram 1	1	443.416000	443.496000	4000.000000	18000.000000	8000.000000	Twitter	10.078275	-26.301080	66.618187	0
52	Spectrogram 1	1	443.542000	443.628000	4000.000000	18000.000000	8000.000000	Twitter	10.833403	-29.136467	79.053111	0
53	Spectrogram 1	1	443.668000	443.736000	4000.000000	18000.000000	8000.000000	Twitter	15.731993	-33.125765	98.019090	0
54	Spectrogram 1	1	444.424000	444.456000	4000.000000	18000.000000	8000.000000	Trillphee	8.894511	-37.933889	30.092350	0
55	Spectrogram 1	1	455.734000	455.778000	4000.000000	18000.000000	8000.000000	Trill	11.121009	-37.570240	30.972630	0
56	Spectrogram 1	1	457.564000	457.854000	4000.000000	18000.000000	8000.000000	Trill	7.639671	-37.721561	30.558940	0
57	Spectrogram 1	1	461.956000	462.120000	4000.000000	18000.000000	8000.000000	Trill	6.896176	-37.817542	44.182574	0
58	Spectrogram 1	1	502.436000	502.774000	4000.000000	18000.000000	8000.000000	Trill	14.135087	-32.469062	106.093786	0
59	Spectrogram 1	1	509.552000	509.710000	4000.000000	18000.000000	8000.000000	Trill	7.404127	-36.284772	52.510686	0
60	Spectrogram 1	1	546.410000	548.194000	4000.000000	18000.000000	8000.000000	Trillphee	14.129224	-22.549630	173.715950	0
61	Spectrogram 1	1	567.896000	568.270000	4000.000000	18000.000000	8000.000000	Trill	9.625999	-34.471264	62.460965	0
62	Spectrogram 1	1	576.542000	578.416000	4000.000000	18000.000000	8000.000000	Trillphee	8.946090	-22.052797	157.142412	0
63	Spectrogram 1	1	579.548000	579.610000	4000.000000	18000.000000	8000.000000	Trill	5.654328	-36.444259	53.072846	0
64	Spectrogram 1	1	580.520000	580.558000	4000.000000	18000.000000	8000.000000	Phee	6.809989	-35.900324	60.951873	0
65	Spectrogram 1	1	580.988000	581.026000	4000.000000	18000.000000	8000.000000	Twitter	7.567568	-36.265345	63.371465	0
66	Spectrogram 1	1	602.430000	602.486000	4000.000000	18000.000000	8000.000000	Phee	14.344980	-38.594017	31.580442	0
67	Spectrogram 1	1	603.798000	603.848000	4000.000000	18000.000000	8000.000000	Trill	13.575442	-35.675332	32.870508	0
68	Spectrogram 1	1	605.586000	605.816000	4000.000000	18000.000000	8000.000000	Trill	4.178991	-38.645953	31.454026	1
69	Spectrogram 1	1	607.314000	607.400000	4000.000000	18000.000000	8000.000000	Trill	5.040373	-32.668326	51.250667	0
70	Spectrogram 1	1	607.728000	607.784000	4000.000000	18000.000000	8000.000000	Twitter	4.023123	-26.707850	44.645494	1
71	Spectrogram 1	1	607.854000	607.916000	4000.000000	18000.000000	8000.000000	Twitter	4.051687	-26.735716	44.566552	1
72	Spectrogram 1	1	608.106000	608.180000	4000.000000	18000.000000	8000.000000	Twitter	3.912432	-28.293330	49.262051	1
73	Spectrogram 1	1	608.220000	608.312000	4000.000000	18000.000000	8000.000000	Twitter	3.884376	-30.213237	61.028009	1
74	Spectrogram 1	1	608.370000	608.420000	4000.000000	18000.000000	8000.000000	Trill	5.747280	-33.765294	40.578289	0
75	Spectrogram 1	1	612.300000	614.276000	4000.000000	18000.000000	8000.000000	Trillphee	5.192909	-28.411964	96.550651	0
76	Spectrogram 1	1	628.242000	628.610000	4000.000000	18000.000000	8000.000000	Trill	12.699665	-31.549495	108.811440	0
77	Spectrogram 1	1	652.614000	652.844000	4000.000000	18000.000000	8000.000000	Trill	6.918924	-35.450550	60.985484	0
78	Spectrogram 1	1	678.948000	679.280000	4000.000000	18000.000000	8000.000000	Trill	9.428334	-33.776402	87.118400	0
79	Spectrogram 1	1	683.208000	684.476000	4000.000000	18000.000000	8000.000000	Trillphee	9.545265	-24.553253	141.557729	0
80	Spectrogram 1	1	688.800000	688.880000	4000.000000	18000.000000	8000.000000	Twitter	3.934088	-25.665177	61.720398	1
81	Spectrogram 1	1	688.944000	689.024000	4000.000000	18000.000000	8000.000000	Twitter	4.309762	-26.026428	55.334233	1
82	Spectrogram 1	1	689.088000	689.156000	4000.000000	18000.000000	8000.000000	Twitter	5.258133	-24.917380	53.619601	0
83	Spectrogram 1	1	689.226000	689.282000	4000.000000	18000.000000	8000.000000	Twitter	5.631793	-24.571941	47.823413	0
84	Spectrogram 1	1	689.370000	689.438000	4000.000000	18000.000000	8000.000000	Twitter	5.987990	-25.013563	52.669436	0
85	Spectrogram 1	1	689.508000	689.570000	4000.000000	18000.000000	8000.000000	Twitter	5.981700	-24.593200	55.157367	0
86	Spectrogram 1	1	689.652000	689.714000	4000.000000	18000.000000	8000.000000	Twitter	6.084356	-25.007085	48.753839	0
87	Spectrogram 1	1	689.790000	689.894000	4000.000000	18000.000000	8000.000000	Twitter	4.910426	-27.253312	56.364911	1
88	Spectrogram 1	1	689.910000	690.020000	4000.000000	18000.000000	8000.000000	Twitter	5.197071	-27.263720	82.872718	0
89	Spectrogram 1	1	690.048000	690.158000	4000.000000	18000.000000	8000.000000	Twitter	5.835844	-29.439209	105.094303	0
90	Spectrogram 1	1	690.210000	690.254000	4000.000000	18000.000000	8000.000000	Twitter	11.707220	-31.845373	69.379883	0
91	Spectrogram 1	1	763.276000	763.380000	4000.000000	18000.000000	8000.000000	Phee	4.426105	-37.763952	52.406744	1
92	Spectrogram 1	1	768.880000	769.134000	4000.000000	18000.000000	8000.000000	Trill	11.899536	-34.431728	81.176423	0
93	Spectrogram 1	1	781.510000	781.896000	4000.000000	18000.000000	8000.000000	Trill	14.493811	-31.702608	112.583816	0
94	Spectrogram 1	1	786.364000	787.950000	4000.000000	18000.000000	8000.000000	Trillphee	5.852368	-20.150967	146.396116	0
95	Spectrogram 1	1	789.178000	789.360000	4000.000000	18000.000000	8000.000000	Phee	6.653390	-37.924040	43.664803	0
96	Spectrogram 1	1	804.056000	804.406000	4000.000000	18000.000000	8000.000000	Trill	10.310636	-33.682180	89.288551	0
97	Spectrogram 1	1	805.412000	805.636000	4000.000000	18000.000000	8000.000000	Twitter	8.687005	-29.447980	112.850741	0
98	Spectrogram 1	1	805.694000	805.780000	4000.000000	18000.000000	8000.000000	Twitter	5.743669	-26.619785	74.731438	0
99	Spectrogram 1	1	805.832000	805.912000	4000.000000	18000.000000	8000.000000	Twitter	6.055502	-26.585360	70.615011	0
100	Spectrogram 1	1	805.964000	806.038000	4000.000000	18000.000000	8000.000000	Twitter	6.192884	-25.927669	48.659967	0
101	Spectrogram 1	1	806.096000	806.188000	4000.000000	18000.000000	8000.000000	Twitter	5.337283	-27.523689	53.549444	0
102	Spectrogram 1	1	806.216000	806.308000	4000.000000	18000.000000	8000.000000	Twitter	6.322536	-27.350226	69.459159	0
103	Spectrogram 1	1	806.342000	806.428000	4000.000000	18000.000000	8000.000000	Twitter	8.571698	-29.389993	101.328046	0
104	Spectrogram 1	1	806.486000	806.530000	4000.000000	18000.000000	8000.000000	Twitter	15.378418	-30.690144	101.508827	0
105	Spectrogram 1	1	809.234000	809.686000	4000.000000	18000.000000	8000.000000	Trill	15.733789	-35.692869	100.533206	0
106	Spectrogram 1	1	817.604000	817.852000	4000.000000	18000.000000	8000.000000	Trill	10.837417	-35.340265	75.977310	0
107	Spectrogram 1	1	820.646000	820.990000	4000.000000	18000.000000	8000.000000	Trill	12.452957	-33.078648	94.739587	0
108	Spectrogram 1	1	821.084000	822.250000	4000.000000	18000.000000	8000.000000	Trillphee	7.768287	-24.596033	125.582410	0
109	Spectrogram 1	1	837.716000	837.988000	4000.000000	18000.000000	8000.000000	Trill	14.318713	-31.162437	110.186175	0
110	Spectrogram 1	1	876.230000	876.448000	4000.000000	18000.000000	8000.000000	Trill	13.390329	-32.708762	100.183423	0
111	Spectrogram 1	1	904.992000	905.126000	4000.000000	18000.000000	8000.000000	Trill	7.869323	-36.963266	47.873618	0
112	Spectrogram 1	1	910.284000	910.850000	4000.000000	18000.000000	8000.000000	Trill	4.609839	-35.431656	62.693429	1
113	Spectrogram 1	1	915.510000	915.560000	4000.000000	18000.000000	8000.000000	Trill	14.472958	-40.435639	30.100475	0
114	Spectrogram 1	1	915.708000	915.764000	4000.000000	18000.000000	8000.000000	Trill	5.779114	-35.027021	35.978340	0
115	Spectrogram 1	1	915.828000	915.908000	4000.000000	18000.000000	8000.000000	Twitter	5.674199	-30.622021	79.238819	0
116	Spectrogram 1	1	915.966000	916.028000	4000.000000	18000.000000	8000.000000	Twitter	5.019761	-30.127070	63.723248	0
117	Spectrogram 1	1	916.080000	916.160000	4000.000000	18000.000000	8000.000000	Twitter	4.630376	-29.174644	57.037239	1
118	Spectrogram 1	1	916.194000	916.262000	4000.000000	18000.000000	8000.000000	Twitter	5.302090	-29.355940	63.335516	0
119	Spectrogram 1	1	916.308000	916.382000	4000.000000	18000.000000	8000.000000	Twitter	6.021125	-30.643214	72.422657	0
120	Spectrogram 1	1	916.434000	916.526000	4000.000000	18000.000000	8000.000000	Trill	11.516989	-34.008940	68.010782	0
