Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Exception
54	Spectrogram 1	2	246.656000	247.060000	4000.000000	18000.000000	8000.000000	Trill	11.038110	-33.772827	0
55	Spectrogram 1	2	249.596000	249.676000	4000.000000	18000.000000	8000.000000	Twitter	4.307429	-26.752756	1
56	Spectrogram 1	2	249.728000	249.826000	4000.000000	18000.000000	8000.000000	Twitter	5.107021	-24.708336	0
57	Spectrogram 1	2	249.878000	249.964000	4000.000000	18000.000000	8000.000000	Twitter	5.355384	-24.729556	0
58	Spectrogram 1	2	250.010000	250.090000	4000.000000	18000.000000	8000.000000	Twitter	5.708402	-23.680759	0
59	Spectrogram 1	2	250.148000	250.246000	4000.000000	18000.000000	8000.000000	Twitter	5.241602	-25.280462	0
60	Spectrogram 1	2	250.280000	250.384000	4000.000000	18000.000000	8000.000000	Twitter	5.511663	-25.264851	0
61	Spectrogram 1	2	250.400000	250.522000	4000.000000	18000.000000	8000.000000	Twitter	5.734881	-26.131125	0
62	Spectrogram 1	2	250.544000	250.660000	4000.000000	18000.000000	8000.000000	Twitter	6.311436	-25.476056	0
63	Spectrogram 1	2	250.688000	250.786000	4000.000000	18000.000000	8000.000000	Twitter	8.229807	-25.643035	0
64	Spectrogram 1	2	271.736000	272.068000	4000.000000	18000.000000	8000.000000	Trill	12.765682	-33.247930	0
65	Spectrogram 1	2	275.006000	275.212000	4000.000000	18000.000000	8000.000000	Trill	7.474467	-33.892040	0
66	Spectrogram 1	2	300.792000	301.004000	4000.000000	18000.000000	8000.000000	Trill	14.166171	-28.432226	0
67	Spectrogram 1	2	302.640000	302.786000	4000.000000	18000.000000	8000.000000	Trill	12.769108	-30.715095	0
68	Spectrogram 1	2	304.878000	304.994000	4000.000000	18000.000000	8000.000000	Trill	11.310977	-30.323229	0
69	Spectrogram 1	2	305.046000	305.084000	4000.000000	18000.000000	8000.000000	Trill	11.882945	-34.481838	0
70	Spectrogram 1	2	308.808000	309.110000	4000.000000	18000.000000	8000.000000	Trill	12.597903	-31.835713	0
71	Spectrogram 1	2	309.378000	309.554000	4000.000000	18000.000000	8000.000000	Phee	15.190247	-21.333894	0
72	Spectrogram 1	2	309.576000	310.052000	4000.000000	18000.000000	8000.000000	Phee	14.307856	-20.407047	0
73	Spectrogram 1	2	310.092000	310.202000	4000.000000	18000.000000	8000.000000	Phee	12.721602	-22.384788	0
74	Spectrogram 1	2	316.050000	316.364000	4000.000000	18000.000000	8000.000000	Trill	12.240615	-34.333001	0
75	Spectrogram 1	2	322.038000	322.226000	4000.000000	18000.000000	8000.000000	Trill	14.164254	-30.110923	0
76	Spectrogram 1	2	324.504000	324.686000	4000.000000	18000.000000	8000.000000	Trill	9.898331	-30.779120	0
77	Spectrogram 1	2	344.226000	344.648000	4000.000000	18000.000000	8000.000000	Trill	10.404223	-33.562563	0
78	Spectrogram 1	2	345.294000	345.314000	4000.000000	18000.000000	8000.000000	Twitter	5.281612	-28.722487	0
79	Spectrogram 1	2	345.408000	345.452000	4000.000000	18000.000000	8000.000000	Twitter	4.030968	-24.046686	1
80	Spectrogram 1	2	345.534000	345.590000	4000.000000	18000.000000	8000.000000	Twitter	4.231256	-23.145877	1
81	Spectrogram 1	2	345.672000	345.740000	4000.000000	18000.000000	8000.000000	Twitter	4.301700	-23.177127	1
82	Spectrogram 1	2	345.816000	345.878000	4000.000000	18000.000000	8000.000000	Twitter	6.066817	-21.833193	0
83	Spectrogram 1	2	345.948000	346.016000	4000.000000	18000.000000	8000.000000	Twitter	6.333445	-22.383720	0
84	Spectrogram 1	2	346.092000	346.178000	4000.000000	18000.000000	8000.000000	Twitter	5.250856	-24.326096	0
85	Spectrogram 1	2	346.230000	346.298000	4000.000000	18000.000000	8000.000000	Twitter	6.328641	-22.349451	0
86	Spectrogram 1	2	346.362000	346.490000	4000.000000	18000.000000	8000.000000	Twitter	4.898616	-26.128288	1
87	Spectrogram 1	2	346.500000	346.616000	4000.000000	18000.000000	8000.000000	Twitter	5.602701	-24.869802	0
88	Spectrogram 1	2	346.638000	346.748000	4000.000000	18000.000000	8000.000000	Twitter	7.232114	-26.441357	0
89	Spectrogram 1	2	346.800000	346.856000	4000.000000	18000.000000	8000.000000	Trill	10.271582	-30.390280	0
90	Spectrogram 1	2	376.806000	377.066000	4000.000000	18000.000000	8000.000000	Trill	13.888071	-30.164582	0
91	Spectrogram 1	2	383.256000	383.522000	4000.000000	18000.000000	8000.000000	Trill	13.983484	-31.198189	0
92	Spectrogram 1	2	391.464000	391.826000	4000.000000	18000.000000	8000.000000	Trill	11.256767	-31.671713	0
93	Spectrogram 1	2	393.318000	393.380000	4000.000000	18000.000000	8000.000000	Twitter	6.234645	-24.806449	0
94	Spectrogram 1	2	393.450000	393.536000	4000.000000	18000.000000	8000.000000	Twitter	5.231759	-24.727813	0
95	Spectrogram 1	2	393.576000	393.668000	4000.000000	18000.000000	8000.000000	Twitter	6.051118	-24.293236	0
96	Spectrogram 1	2	393.708000	393.800000	4000.000000	18000.000000	8000.000000	Twitter	5.951788	-24.668000	0
97	Spectrogram 1	2	393.834000	393.926000	4000.000000	18000.000000	8000.000000	Twitter	6.231459	-24.632215	0
98	Spectrogram 1	2	393.954000	394.070000	4000.000000	18000.000000	8000.000000	Twitter	5.822800	-26.433002	0
99	Spectrogram 1	2	394.074000	394.196000	4000.000000	18000.000000	8000.000000	Twitter	7.075323	-27.255000	0
100	Spectrogram 1	2	394.230000	394.298000	4000.000000	18000.000000	8000.000000	Twitter	8.246115	-28.969055	0
101	Spectrogram 1	2	405.472000	405.636000	4000.000000	18000.000000	8000.000000	Trill	15.134179	-30.254992	0
102	Spectrogram 1	2	413.332000	413.430000	4000.000000	18000.000000	8000.000000	Trill	15.250646	-29.933997	0
103	Spectrogram 1	2	470.212000	470.424000	4000.000000	18000.000000	8000.000000	Trill	9.213440	-33.664687	0
104	Spectrogram 1	2	471.418000	471.786000	4000.000000	18000.000000	8000.000000	Trill	10.026625	-32.993260	0
105	Spectrogram 1	2	472.498000	472.554000	4000.000000	18000.000000	8000.000000	Twitter	5.853565	-22.715452	0
106	Spectrogram 1	2	472.624000	472.710000	4000.000000	18000.000000	8000.000000	Twitter	6.127145	-24.693414	0
107	Spectrogram 1	2	472.750000	472.842000	4000.000000	18000.000000	8000.000000	Twitter	6.368764	-25.113254	0
108	Spectrogram 1	2	472.876000	472.968000	4000.000000	18000.000000	8000.000000	Twitter	6.182741	-24.792004	0
109	Spectrogram 1	2	473.002000	473.100000	4000.000000	18000.000000	8000.000000	Twitter	6.479331	-25.926805	0
110	Spectrogram 1	2	473.110000	473.226000	4000.000000	18000.000000	8000.000000	Twitter	6.987003	-28.251535	0
111	Spectrogram 1	2	473.236000	473.250000	4000.000000	18000.000000	8000.000000	Twitter	7.492593	-37.832020	2
112	Spectrogram 1	2	473.278000	473.334000	4000.000000	18000.000000	8000.000000	Trill	9.546869	-31.471643	0
113	Spectrogram 1	2	476.344000	476.640000	4000.000000	18000.000000	8000.000000	Trill	12.403379	-34.548762	0
114	Spectrogram 1	2	481.216000	481.494000	4000.000000	18000.000000	8000.000000	Trill	12.330054	-32.142856	0
115	Spectrogram 1	2	481.648000	481.692000	4000.000000	18000.000000	8000.000000	Trill	9.941655	-30.510709	0
116	Spectrogram 1	2	481.834000	481.872000	4000.000000	18000.000000	8000.000000	Trillphee	8.846533	-31.708217	0
117	Spectrogram 1	2	481.966000	482.034000	4000.000000	18000.000000	8000.000000	Twitter	6.347738	-24.852724	0
118	Spectrogram 1	2	482.098000	482.202000	4000.000000	18000.000000	8000.000000	Twitter	5.019670	-25.339639	0
119	Spectrogram 1	2	482.218000	482.304000	4000.000000	18000.000000	8000.000000	Twitter	6.012802	-24.484869	0
120	Spectrogram 1	2	482.344000	482.436000	4000.000000	18000.000000	8000.000000	Twitter	5.744399	-24.484094	0
121	Spectrogram 1	2	482.470000	482.562000	4000.000000	18000.000000	8000.000000	Twitter	6.059981	-24.500657	0
122	Spectrogram 1	2	482.584000	482.694000	4000.000000	18000.000000	8000.000000	Twitter	6.269844	-26.056005	0
123	Spectrogram 1	2	482.728000	482.802000	4000.000000	18000.000000	8000.000000	Twitter	11.146098	-25.801728	0
124	Spectrogram 1	2	497.716000	498.066000	4000.000000	18000.000000	8000.000000	Trill	14.768386	-31.315469	0
125	Spectrogram 1	2	500.306000	500.518000	4000.000000	18000.000000	8000.000000	Trill	14.257921	-32.622635	0
126	Spectrogram 1	2	501.284000	501.532000	4000.000000	18000.000000	8000.000000	Trill	12.745562	-31.541068	0
127	Spectrogram 1	2	501.632000	501.700000	4000.000000	18000.000000	8000.000000	Twitter	8.231110	-24.882854	0
128	Spectrogram 1	2	501.758000	501.844000	4000.000000	18000.000000	8000.000000	Twitter	7.532963	-23.918131	0
129	Spectrogram 1	2	501.884000	501.976000	4000.000000	18000.000000	8000.000000	Twitter	7.477106	-24.959315	0
130	Spectrogram 1	2	501.980000	502.102000	4000.000000	18000.000000	8000.000000	Twitter	6.938457	-26.296561	0
131	Spectrogram 1	2	502.112000	502.234000	4000.000000	18000.000000	8000.000000	Twitter	6.483116	-26.479807	0
132	Spectrogram 1	2	502.256000	502.342000	4000.000000	18000.000000	8000.000000	Twitter	8.483871	-26.681214	0
133	Spectrogram 1	2	502.394000	502.450000	4000.000000	18000.000000	8000.000000	Twitter	13.010844	-31.220734	0
134	Spectrogram 1	2	528.236000	528.706000	4000.000000	18000.000000	8000.000000	Trill	6.756273	-32.275487	0
135	Spectrogram 1	2	529.754000	529.900000	4000.000000	18000.000000	8000.000000	Trill	10.203148	-30.235357	0
136	Spectrogram 1	2	530.564000	530.662000	4000.000000	18000.000000	8000.000000	Trill	10.528503	-25.956242	0
137	Spectrogram 1	2	533.390000	533.608000	4000.000000	18000.000000	8000.000000	Trill	14.272416	-30.621818	0
138	Spectrogram 1	2	536.336000	536.734000	4000.000000	18000.000000	8000.000000	Trill	13.045431	-32.417088	0
139	Spectrogram 1	2	546.320000	546.640000	4000.000000	18000.000000	8000.000000	Trill	11.655996	-34.788345	0
140	Spectrogram 1	2	547.868000	547.936000	4000.000000	18000.000000	8000.000000	Twitter	5.010777	-23.015341	0
141	Spectrogram 1	2	548.000000	548.080000	4000.000000	18000.000000	8000.000000	Twitter	5.686707	-24.032776	0
142	Spectrogram 1	2	548.132000	548.212000	4000.000000	18000.000000	8000.000000	Twitter	5.987976	-23.955387	0
143	Spectrogram 1	2	548.264000	548.344000	4000.000000	18000.000000	8000.000000	Twitter	6.335324	-24.356746	0
144	Spectrogram 1	2	548.396000	548.482000	4000.000000	18000.000000	8000.000000	Twitter	6.036937	-25.065027	0
145	Spectrogram 1	2	548.522000	548.620000	4000.000000	18000.000000	8000.000000	Twitter	5.813322	-25.897408	0
146	Spectrogram 1	2	548.648000	548.752000	4000.000000	18000.000000	8000.000000	Twitter	6.757292	-26.454443	0
147	Spectrogram 1	2	548.810000	548.860000	4000.000000	18000.000000	8000.000000	Twitter	8.101047	-28.444048	0
148	Spectrogram 1	2	557.510000	557.764000	4000.000000	18000.000000	8000.000000	Trill	10.608639	-34.112128	0
149	Spectrogram 1	2	559.616000	559.702000	4000.000000	18000.000000	8000.000000	Twitter	5.854687	-24.028110	0
