Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Exception
54	Spectrogram 1	3	188.482000	188.562000	4000.000000	18000.000000	8000.000000	Trill	12.209194	-30.023847	0
55	Spectrogram 1	3	188.602000	188.670000	4000.000000	18000.000000	8000.000000	Trill	11.254237	-32.773357	1
56	Spectrogram 1	3	191.278000	191.310000	4000.000000	18000.000000	8000.000000	Trill	9.740695	-36.781328	1
57	Spectrogram 1	3	197.362000	197.400000	4000.000000	18000.000000	8000.000000	Phee	13.235751	-36.741701	0
58	Spectrogram 1	3	197.518000	197.556000	4000.000000	18000.000000	8000.000000	Phee	13.510971	-38.973235	0
59	Spectrogram 1	3	198.142000	198.174000	4000.000000	18000.000000	8000.000000	Trill	15.682966	-38.936352	0
60	Spectrogram 1	3	198.532000	198.696000	4000.000000	18000.000000	8000.000000	Trill	9.805613	-38.224275	1
61	Spectrogram 1	3	198.988000	199.050000	4000.000000	18000.000000	8000.000000	Trill	9.136535	-33.933333	1
62	Spectrogram 1	3	199.114000	199.182000	4000.000000	18000.000000	8000.000000	Trill	9.191277	-33.724800	1
63	Spectrogram 1	3	199.246000	199.314000	4000.000000	18000.000000	8000.000000	Trill	9.889427	-34.488044	1
64	Spectrogram 1	3	199.384000	199.440000	4000.000000	18000.000000	8000.000000	Trill	10.078238	-34.826277	1
65	Spectrogram 1	3	202.658000	202.708000	4000.000000	18000.000000	8000.000000	Trill	16.318200	-38.735949	0
66	Spectrogram 1	3	215.564000	215.596000	4000.000000	18000.000000	8000.000000	Trill	16.208249	-38.498260	0
67	Spectrogram 1	3	219.536000	219.580000	4000.000000	18000.000000	8000.000000	Trill	15.341761	-38.351667	0
68	Spectrogram 1	3	244.784000	244.846000	4000.000000	18000.000000	8000.000000	Trill	17.432093	-38.447248	0
69	Spectrogram 1	3	245.480000	245.554000	4000.000000	18000.000000	8000.000000	Trill	16.219525	-38.852315	0
70	Spectrogram 1	3	245.840000	245.956000	4000.000000	18000.000000	8000.000000	Trill	13.498432	-36.654299	0
71	Spectrogram 1	3	246.044000	246.088000	4000.000000	18000.000000	8000.000000	Trill	15.115923	-38.406102	0
72	Spectrogram 1	3	248.648000	248.710000	4000.000000	18000.000000	8000.000000	Trill	16.927743	-38.622170	0
73	Spectrogram 1	3	257.246000	257.308000	4000.000000	18000.000000	8000.000000	Phee	12.694399	-35.510529	0
74	Spectrogram 1	3	271.418000	271.480000	4000.000000	18000.000000	8000.000000	Trill	11.622279	-37.988744	1
75	Spectrogram 1	3	285.476000	285.532000	4000.000000	18000.000000	8000.000000	Phee	21.214560	-37.879269	0
76	Spectrogram 1	3	296.198000	296.230000	4000.000000	18000.000000	8000.000000	Trill	11.512719	-37.543562	1
77	Spectrogram 1	3	296.324000	296.356000	4000.000000	18000.000000	8000.000000	Trill	13.632512	-38.887987	0
78	Spectrogram 1	3	296.972000	297.004000	4000.000000	18000.000000	8000.000000	Trill	22.690502	-38.959830	0
79	Spectrogram 1	3	300.780000	300.812000	4000.000000	18000.000000	8000.000000	Trill	13.279899	-38.922217	0
80	Spectrogram 1	3	307.878000	307.922000	4000.000000	18000.000000	8000.000000	Phee	13.734840	-37.036420	0
81	Spectrogram 1	3	317.094000	317.204000	4000.000000	18000.000000	8000.000000	Trill	14.350442	-38.266396	0
82	Spectrogram 1	3	318.252000	318.362000	4000.000000	18000.000000	8000.000000	Trill	15.393183	-38.951274	0
83	Spectrogram 1	3	328.128000	328.178000	4000.000000	18000.000000	8000.000000	Trill	16.285939	-38.809023	0
84	Spectrogram 1	3	328.662000	328.760000	4000.000000	18000.000000	8000.000000	Trill	15.189258	-38.085563	0
85	Spectrogram 1	3	335.622000	335.666000	4000.000000	18000.000000	8000.000000	Phee	12.990805	-35.842170	0
86	Spectrogram 1	3	338.940000	338.972000	4000.000000	18000.000000	8000.000000	Trill	12.417646	-37.935839	0
87	Spectrogram 1	3	343.038000	343.310000	4000.000000	18000.000000	8000.000000	Trill	10.572928	-36.243105	1
88	Spectrogram 1	3	390.660000	391.142000	4000.000000	18000.000000	8000.000000	Trill	10.493518	-35.018050	1
